department_id,day_of_week,hour_of_day,duration_hours,task_id,is_anomaly
390714b2-977f-4e5c-bd1e-5f282ff785ef,1,14,3.97,Detallar Curso,False
5fd7b0ae-2619-4038-a52e-26a0576c4819,3,13,6.66,Feedback de Manager,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,6,9,1.42,Verificar Factura,False
e6edcb81-4782-44f0-af6d-1e9e184c77ba,3,11,7.16,Subir Borrador,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,2,10,5.39,Validar Capacitación,False
e6edcb81-4782-44f0-af6d-1e9e184c77ba,4,11,5.18,Habilitar Permisos,False
e6edcb81-4782-44f0-af6d-1e9e184c77ba,0,18,5.47,Aprobación del manager,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,2,16,3.55,Especificar Servidores,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,6,15,6.86,Pago de Liquidación,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,3,16,6.7,Revisión Contable,False
5fd7b0ae-2619-4038-a52e-26a0576c4819,0,13,7.87,Instalar Licencia,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,6,9,1.57,Verificar Stock,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,6,18,6.77,Especificar Servidores,False
5fd7b0ae-2619-4038-a52e-26a0576c4819,4,16,4.96,Validación de RRHH,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,1,14,7.03,Consolidar Gastos,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,4,18,3.89,Evaluación Técnica,False
e6edcb81-4782-44f0-af6d-1e9e184c77ba,2,18,5.01,Autoevaluación,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,3,10,5.16,Revisión Contable,False
5fd7b0ae-2619-4038-a52e-26a0576c4819,5,12,0.59,Evaluación Técnica,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,5,17,6.5,Aprobación de Pago,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,5,14,1.92,Evaluación Técnica,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,4,9,5.99,Validar Capacitación,False
5fd7b0ae-2619-4038-a52e-26a0576c4819,2,13,4.83,Registrar Recibos,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,5,18,6.94,Evaluación Técnica,False
e6edcb81-4782-44f0-af6d-1e9e184c77ba,1,13,3.32,Presentar Requerimiento,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,5,16,4.02,Inicio de la solicitud,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,6,17,7.1,Entrega del Equipo,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,4,11,1.74,Cerrar Accesos,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,1,12,1.21,Consolidación de RRHH,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,5,11,6.8,Instalar Licencia,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,1,8,1.63,Revisión Contable,False
e6edcb81-4782-44f0-af6d-1e9e184c77ba,5,16,3.74,Validación de RRHH,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,6,10,5.87,Inicio del Proceso,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,0,10,1.79,Pago de Liquidación,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,5,16,5.06,Procesar Transferencia,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,0,16,2.54,Pago de Liquidación,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,4,8,3.07,Instalar Licencia,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,3,9,7.86,Setup Tecnológico,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,1,13,6.76,Enviar solicitud de vacaciones,False
31ece703-f961-4e8e-a5c5-cd5c5b47e3db,1,14,5.91,Inicio del Proceso,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,2,11,5.09,Aprobación de Pago,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,4,16,3.24,Especificar Servidores,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,1,10,0.83,Preparar Firma,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,1,10,1.25,Validar Elegibilidad,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,2,12,5.73,Validación de RRHH,False
31ece703-f961-4e8e-a5c5-cd5c5b47e3db,1,17,5.1,Autoevaluación,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,3,8,5.74,Iniciar Baja,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,6,10,2.06,Subir Borrador,False
e6edcb81-4782-44f0-af6d-1e9e184c77ba,2,11,2.53,Presentar Requerimiento,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,0,17,2.18,Setup Tecnológico,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,5,18,5.74,Revisión Contable,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,2,18,7.46,Revisión Gerencial,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,3,10,4.25,Validar Capacitación,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,4,14,2.48,Inicio del Proceso,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,6,10,2.39,Detallar Curso,False
31ece703-f961-4e8e-a5c5-cd5c5b47e3db,1,17,5.68,Dispersión de Fondos,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,4,14,1.93,Inicio de la solicitud,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,6,18,4.94,Validar Capacitación,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,6,15,2.69,Presentar Requerimiento,False
5f56f693-5a38-4ca2-96c0-7bba750fc7a6,4,12,7.47,Inicio del Proceso,False
f5ba7581-b2ac-4b3a-830e-64ab112f975a,6,11,5.65,Aprobar Presupuesto,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,4,9,2.62,Subir Borrador,False
5fd7b0ae-2619-4038-a52e-26a0576c4819,3,16,7.54,Consolidación de RRHH,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,1,16,2.07,Aprobación Presupuesto,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,0,14,3.82,Setup Tecnológico,False
f036cecc-192b-4e1e-bdc2-c95608f24fe9,4,15,2.71,Feedback de Manager,False
31ece703-f961-4e8e-a5c5-cd5c5b47e3db,5,8,3.97,Habilitar Permisos,False
390714b2-977f-4e5c-bd1e-5f282ff785ef,5,9,4.85,Validación de RRHH,False
17775f19-8c66-41b3-bd38-919b0fe10b8f,3,17,4.52,Verificar Factura,False
