policy_id,activity_id,employee_id,pending_tasks,completion_hours
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,Aprobación Costos,f615b16b-8fd1-43c9-97c0-a65e08960291,11,11.31
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Reunión Bienvenida,c017087e-fcbc-4f47-ae54-78008d243fbf,12,12.33
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,Consolidar Gastos,14791e8e-28e4-4f61-9593-d7a2653d97a3,15,13.67
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,Verificar Factura,3f72a8b2-777b-43c8-ba37-8f5d9fbd2135,5,6.68
439df689-d1cf-41c3-883c-1b7713fe68e5,Revisión Contable,c017087e-fcbc-4f47-ae54-78008d243fbf,12,14.12
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,Dispersión de Fondos,e04f861d-b880-4d7f-bf03-59ce8e435929,0,4.48
2c3d4e5f-6a7b-8c9d-0e1f-2a3b4c5d6e7f,Feedback de Manager,bebe41a9-85fc-43f3-a125-5c7f72b0898d,9,8.49
8c9d0e1f-2a3b-4c5d-6e7f-8a9b0c1d2e3f,Procesar Transferencia,14791e8e-28e4-4f61-9593-d7a2653d97a3,3,5.66
8c9d0e1f-2a3b-4c5d-6e7f-8a9b0c1d2e3f,Procesar Transferencia,8490fcc8-7f53-4704-ac48-99b48356b21c,8,13.22
111e9d86-cbd2-45ff-a809-4072bbe6a4d0,Reunión Bienvenida,e121cbea-1209-4fe7-ad22-6cf09caf5b95,9,12.76
111e9d86-cbd2-45ff-a809-4072bbe6a4d0,Inicio del Proceso,f65f0bd7-27f5-4b8c-9641-94729f51744a,11,11.58
7c8d9e0f-1a2b-3c4d-5e6f-7a8b9c0d1e2f,Entrega del Equipo,2b549288-04a4-4705-bcd0-0332b683df27,10,9.28
439df689-d1cf-41c3-883c-1b7713fe68e5,Especificar Licencia,2e310583-c106-4f2c-a6c3-c4b12ec30658,10,10.94
2c3d4e5f-6a7b-8c9d-0e1f-2a3b4c5d6e7f,Pago de Liquidación,4cd6a83f-a8b6-4b56-854d-5d3693ec4ab4,1,4.14
6720c739-1916-432b-b392-e698dcfd8112,Detallar Curso,4cd6a83f-a8b6-4b56-854d-5d3693ec4ab4,14,13.74
993a46fb-a0b2-4d2c-88eb-11ab1c3d4e8c,Validación de RRHH,87f8e8d1-83e9-4ddb-9be0-fc955228db6d,8,14.67
439df689-d1cf-41c3-883c-1b7713fe68e5,Validar Capacitación,7949fc3c-9284-40a0-8161-7b39cf9f9b2d,2,4.33
2c3d4e5f-6a7b-8c9d-0e1f-2a3b4c5d6e7f,Presentar Requerimiento,f615b16b-8fd1-43c9-97c0-a65e08960291,10,11.11
000a3793-827e-4616-84f9-0a23863e0a35,Inicio de la solicitud,0eea38fa-f85e-4c73-b47b-0a1985db1227,8,10.56
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,Instalar Licencia,f615b16b-8fd1-43c9-97c0-a65e08960291,14,13.95
111e9d86-cbd2-45ff-a809-4072bbe6a4d0,Aprobar Presupuesto,3f72a8b2-777b-43c8-ba37-8f5d9fbd2135,10,10.92
a7b21cc3-d8cf-48af-8bb0-22cba4567e9b,Feedback de Manager,f615b16b-8fd1-43c9-97c0-a65e08960291,10,9.35
6c7d8e9f-0a1b-2c3d-4e5f-6a7b8c9d0e1f,Validación de RRHH,e121cbea-1209-4fe7-ad22-6cf09caf5b95,2,4.53
6c7d8e9f-0a1b-2c3d-4e5f-6a7b8c9d0e1f,Verificar Stock,c017087e-fcbc-4f47-ae54-78008d243fbf,12,14.39
0e1f2a3b-4c5d-6e7f-8a9b-0c1d2e3f4a5b,Subir Borrador,2084f511-720a-4096-80cd-5bc9b91cf5b6,3,4.17
a7b21cc3-d8cf-48af-8bb0-22cba4567e9b,Firma Director,e121cbea-1209-4fe7-ad22-6cf09caf5b95,1,6.59
439df689-d1cf-41c3-883c-1b7713fe68e5,Validar Capacitación,eccb7c0d-52a7-4143-baad-ebee05361b50,3,5.0
6c7d8e9f-0a1b-2c3d-4e5f-6a7b8c9d0e1f,Validar Comercial,14791e8e-28e4-4f61-9593-d7a2653d97a3,0,5.07
0e1f2a3b-4c5d-6e7f-8a9b-0c1d2e3f4a5b,Setup Tecnológico,4cd6a83f-a8b6-4b56-854d-5d3693ec4ab4,12,11.26
5c6d7e8f-9a0b-1c2d-3e4f-5a6b7c8d9e0f,Autorización Gerencia,a9eff785-5679-4a1b-91ef-6ca8712ddd18,6,13.31
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Aprobación de Pago,0eea38fa-f85e-4c73-b47b-0a1985db1227,8,11.78
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Inicio de la solicitud,e1c69265-87e8-417b-b13a-2ae72c53d4e3,8,7.67
4c5d6e7f-8a9b-0c1d-2e3f-4a5b6c7d8e9f,Especificar Servidores,d9b58f63-b601-433e-9861-2bf2ad90eeb6,2,7.47
5c6d7e8f-9a0b-1c2d-3e4f-5a6b7c8d9e0f,Enviar solicitud de vacaciones,4cd6a83f-a8b6-4b56-854d-5d3693ec4ab4,2,6.64
6c7d8e9f-0a1b-2c3d-4e5f-6a7b8c9d0e1f,Preparar Firma,eccb7c0d-52a7-4143-baad-ebee05361b50,6,9.6
f5ba7581-b2ac-4b3a-830e-64ab112f975a,Revisión de Seguridad,db614129-bb28-4b41-8a46-bea1444c388c,13,12.52
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Habilitar Permisos,87f8e8d1-83e9-4ddb-9be0-fc955228db6d,12,15.01
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Solicitar Adelanto,a9eff785-5679-4a1b-91ef-6ca8712ddd18,0,2.52
5c6d7e8f-9a0b-1c2d-3e4f-5a6b7c8d9e0f,Pago de Liquidación,c017087e-fcbc-4f47-ae54-78008d243fbf,5,9.74
000a3793-827e-4616-84f9-0a23863e0a35,Detallar Curso,d9b58f63-b601-433e-9861-2bf2ad90eeb6,2,6.64
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Validar Elegibilidad,f65f0bd7-27f5-4b8c-9641-94729f51744a,10,12.19
000a3793-827e-4616-84f9-0a23863e0a35,Validar Comercial,eccb7c0d-52a7-4143-baad-ebee05361b50,3,7.7
0e1f2a3b-4c5d-6e7f-8a9b-0c1d2e3f4a5b,Habilitar Permisos,e04f861d-b880-4d7f-bf03-59ce8e435929,1,1.72
993a46fb-a0b2-4d2c-88eb-11ab1c3d4e8c,Subir Borrador,2e310583-c106-4f2c-a6c3-c4b12ec30658,14,16.14
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,Detallar Curso,d822aaf2-81c6-4054-b63b-a2bec2d53509,8,9.62
0e1f2a3b-4c5d-6e7f-8a9b-0c1d2e3f4a5b,Presentar Requerimiento,f615b16b-8fd1-43c9-97c0-a65e08960291,7,8.76
